#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
187405	852449	856307	32851	36350	YBR152W	YPR178W	SPP381	PRP4	L000004711	RNA4|L000001497	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P20053	-	NP_015504	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187406	852449	852344	32851	32756	YBR152W	YBR055C	SPP381	PRP6	L000004711	RNA6|TSM7269|L000001499	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P19735	-	NP_009611	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187407	852449	856570	32851	36599	YBR152W	YHR165C	SPP381	PRP8	L000004711	DBF3|DNA39|RNA8|SLT21|USA2|U4/U6-U5 snRNP complex component PRP8|L000001500|L000003226	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P33334	-	NP_012035	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187408	852449	851531	32851	32026	YBR152W	YDL030W	SPP381	PRP9	L000004711	L000001501	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P19736	-	NP_010254	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187409	852449	854956	32851	35119	YBR152W	YML049C	SPP381	RSE1	L000004711	L000004030	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	Q04693	-	NP_013663	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187410	852449	856751	32851	36764	YBR152W	YER029C	SPP381	SMB1	L000004711	Sm B|SmB|L000004361	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P40018	-	NP_010946	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187411	852449	853681	32851	33965	YBR152W	YKL173W	SPP381	SNU114	L000004711	GIN10|U5 snRNP GTPase SNU114|L000003541	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P36048	-	NP_012748	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187412	852449	851460	32851	31964	YBR152W	YDL098C	SPP381	SNU23	L000004711	-	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	Q12368	-	NP_010185	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187413	852449	854485	32851	34697	YBR152W	YOR308C	SPP381	SNU66	L000004711	-	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	Q12420	-	NP_014953	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187414	851471	856919	31973	36925	YDL087C	YER172C	LUC7	BRR2	EPE1|EXM2|L000003348	PRP44|RSS1|SLT22|SNU246|L000003100|L000003283	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P32639	-	NP_011099	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187415	851471	855332	31973	35468	YDL087C	YMR288W	LUC7	HSH155	EPE1|EXM2|L000003348	-	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P49955	-	NP_014015	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187416	851471	856486	31973	36521	YDL087C	YHR086W	LUC7	NAM8	EPE1|EXM2|L000003348	MRE2|MUD15|L000001147|L000001230	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q00539	-	NP_011954	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187417	851471	856912	31973	36918	YDL087C	YER165W	LUC7	PAB1	EPE1|EXM2|L000003348	polyadenylate-binding protein|L000001327	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P04147	-	NP_011092	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187418	851471	854960	31973	35122	YDL087C	YML046W	LUC7	PRP39	EPE1|EXM2|L000003348	L000001511	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P39682	-	NP_013667	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187419	851471	853857	31973	34120	YDL087C	YKL012W	LUC7	PRP40	EPE1|EXM2|L000003348	L000003078	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P33203	-	NP_012913	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187420	851471	851821	31973	32286	YDL087C	YDR235W	LUC7	PRP42	EPE1|EXM2|L000003348	MUD16|SNU65|L000003969	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q03776	-	NP_010521	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187421	851471	856570	31973	36599	YDL087C	YHR165C	LUC7	PRP8	EPE1|EXM2|L000003348	DBF3|DNA39|RNA8|SLT21|USA2|U4/U6-U5 snRNP complex component PRP8|L000001500|L000003226	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P33334	-	NP_012035	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187422	851471	854956	31973	35119	YDL087C	YML049C	LUC7	RSE1	EPE1|EXM2|L000003348	L000004030	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q04693	-	NP_013663	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187423	851471	856751	31973	36764	YDL087C	YER029C	LUC7	SMB1	EPE1|EXM2|L000003348	Sm B|SmB|L000004361	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P40018	-	NP_010946	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187424	851471	850981	31973	31543	YDL087C	YLR275W	LUC7	SMD2	EPE1|EXM2|L000003348	Sm D2|L000004145	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q06217	-	NP_013377	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187425	851471	850839	31973	31416	YDL087C	YLR147C	LUC7	SMD3	EPE1|EXM2|L000003348	SLT16|Sm D3|L000001929	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P43321	-	NP_013248	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187426	851471	854749	31973	34931	YDL087C	YIL061C	LUC7	SNP1	EPE1|EXM2|L000003348	U1-70K|L000001954	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q00916	-	NP_012203	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187427	851471	853681	31973	33965	YDL087C	YKL173W	LUC7	SNU114	EPE1|EXM2|L000003348	GIN10|U5 snRNP GTPase SNU114|L000003541	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P36048	-	NP_012748	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187428	851471	851827	31973	32291	YDL087C	YDR240C	LUC7	SNU56	EPE1|EXM2|L000003348	MUD10|L000004362	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q03782	-	NP_010526	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187429	851471	852896	31973	33256	YDL087C	YGR013W	LUC7	SNU71	EPE1|EXM2|L000003348	L000004363	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P53207	-	NP_011527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187430	851471	855155	31973	35302	YDL087C	YMR125W	LUC7	STO1	EPE1|EXM2|L000003348	CBC1|CBP80|GCR3|SUT1|L000002131	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P34160	-	NP_013844	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187431	851471	853071	31973	33414	YDL087C	YGR162W	LUC7	TIF4631	EPE1|EXM2|L000003348	eiF4G1|L000002309	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187432	851471	851005	31973	31562	YDL087C	YLR298C	LUC7	YHC1	EPE1|EXM2|L000003348	U1C|U1-C|L000004161	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	Q05900	-	NP_013401	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187433	851379	853397	31891	33705	YDL175C	YJL050W	AIR2	MTR4	-	DOB1|ATP-dependent RNA helicase MTR4|L000004110	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12476	-	NP_010106	P47047	-	NP_012485	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187434	851379	855911	31891	35993	YDL175C	YPL190C	AIR2	NAB3	-	HMD1|L000001228	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12476	-	NP_010106	P38996	-	NP_015134	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187435	851379	854034	31891	34285	YDL175C	YOL115W	AIR2	PAP2	-	TRF4|non-canonical poly(A) polymerase PAP2|L000002953	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12476	-	NP_010106	P53632	-	NP_014526	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187436	851821	851471	32286	31973	YDR235W	YDL087C	PRP42	LUC7	MUD16|SNU65|L000003969	EPE1|EXM2|L000003348	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	Q07508	-	NP_010196	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187437	851821	852416	32286	32821	YDR235W	YBR119W	PRP42	MUD1	MUD16|SNU65|L000003969	U1A|U1-A|L000001217	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	P32605	-	NP_009677	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187438	851821	856486	32286	36521	YDR235W	YHR086W	PRP42	NAM8	MUD16|SNU65|L000003969	MRE2|MUD15|L000001147|L000001230	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	Q00539	-	NP_011954	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187439	851821	854960	32286	35122	YDR235W	YML046W	PRP42	PRP39	MUD16|SNU65|L000003969	L000001511	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	P39682	-	NP_013667	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187440	851821	853857	32286	34120	YDR235W	YKL012W	PRP42	PRP40	MUD16|SNU65|L000003969	L000003078	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	P33203	-	NP_012913	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187441	851821	854749	32286	34931	YDR235W	YIL061C	PRP42	SNP1	MUD16|SNU65|L000003969	U1-70K|L000001954	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	Q00916	-	NP_012203	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187442	851821	852896	32286	33256	YDR235W	YGR013W	PRP42	SNU71	MUD16|SNU65|L000003969	L000004363	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	P53207	-	NP_011527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187443	851821	855155	32286	35302	YDR235W	YMR125W	PRP42	STO1	MUD16|SNU65|L000003969	CBC1|CBP80|GCR3|SUT1|L000002131	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03776	-	NP_010521	P34160	-	NP_013844	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187444	851827	851471	32291	31973	YDR240C	YDL087C	SNU56	LUC7	MUD10|L000004362	EPE1|EXM2|L000003348	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	Q07508	-	NP_010196	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187445	851827	856486	32291	36521	YDR240C	YHR086W	SNU56	NAM8	MUD10|L000004362	MRE2|MUD15|L000001147|L000001230	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	Q00539	-	NP_011954	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187446	851827	854960	32291	35122	YDR240C	YML046W	SNU56	PRP39	MUD10|L000004362	L000001511	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	P39682	-	NP_013667	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187447	851827	851821	32291	32286	YDR240C	YDR235W	SNU56	PRP42	MUD10|L000004362	MUD16|SNU65|L000003969	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	Q03776	-	NP_010521	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187448	851827	856570	32291	36599	YDR240C	YHR165C	SNU56	PRP8	MUD10|L000004362	DBF3|DNA39|RNA8|SLT21|USA2|U4/U6-U5 snRNP complex component PRP8|L000001500|L000003226	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	P33334	-	NP_012035	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187449	851827	856751	32291	36764	YDR240C	YER029C	SNU56	SMB1	MUD10|L000004362	Sm B|SmB|L000004361	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	P40018	-	NP_010946	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187450	851827	852964	32291	33316	YDR240C	YGR074W	SNU56	SMD1	MUD10|L000004362	SPP92|L000001928	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	Q02260	-	NP_011588	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187451	851827	850981	32291	31543	YDR240C	YLR275W	SNU56	SMD2	MUD10|L000004362	Sm D2|L000004145	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	Q06217	-	NP_013377	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187452	851827	850839	32291	31416	YDR240C	YLR147C	SNU56	SMD3	MUD10|L000004362	SLT16|Sm D3|L000001929	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03782	-	NP_010526	P43321	-	NP_013248	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
